name,obsid
WISEA_J181036.03-812,4595030115
WISEA_J181036.03-812,4595030116
WISEA_J181036.03-812023.4,5551011401
WISEA_J181036.03-812023.4,5551011301
WISEA_J181036.03-812023.4,5551013205
WISEA_J181036.03-812023.4,5551013601
TIC_364588501,5707020301
TIC_364588501,5707020408
WISEA_J181036.03-812023.4,5551011601
WISEA_J181036.03-812023.4,5551014901
WISEA_J181036.03-812,4595030113
WISEA_J181036.03-812023.4,5551012601
WISEA_J181036.03-812023.4,5551013103
WISEA_J181036.03-812023.4,5551013203
TIC_364588501,5707020112
WISEA_J181036.03-812023.4,5551013204
WISEA_J181036.03-812023.4,5551012501
WISEA_J181036.03-812023.4,5551012102
WISEA_J181036.03-812023.4,5551013302
WISEA_J181036.03-812023.4,5551013401
FRB_190711,5203340102
FRB_190711,5203340101
TIC_364588501,5707020401
TIC_364588501,5707020113
PKS_0312-770,5615041301
PKS_0312-770,5615048601
PKS_0312-770,5615104901
PKS_0312-770,5615108701
PKS_0312-770,5615040801
PKS_0312-770,5615100901
PKS_0312-770,5615044901
PKS_0312-770,5615041101
PKS_0312-770,5615041201
PKS_0312-770,5615045001
PKS_0312-770,5615108201
PKS_0312-770,4638040301
TIC_364588501,5707020115
PKS_0312-770,5615044701
PKS_0312-770,5615101201
PKS_0312-770,5615103201
PKS_0312-770,5615100801
PKS_0312-770,4638041401
PKS_0312-770,5615046401
TIC_364588501,5707020403
PKS_0312-770,4638042101
PKS_0312-770,5615048701
PKS_0312-770,5615103401
PKS_0312-770,5615043301
PKS_0312-770,5615041001
PKS_0312-770,5615102801
TIC_364588501,5707020413
PKS_0312-770,4638043301
PKS_0312-770,5615103001
PKS_0312-770,4638044001
PKS_0312-770,5615100902
PKS_0312-770,4638042201
PKS_0312-770,5615102901
TIC_364588501,5707020111
PKS_0312-770,5615042601
PKS_0312-770,5615046601
PKS_0312-770,5615048201
PKS_0312-770,5615102701
PKS_0312-770,5615044601
PKS_0312-770,5615100401
PKS_0312-770,5615104501
PKS_0312-770,5615047101
PKS_0312-770,5615104801
PKS_0312-770,5615106401
PKS_0312-770,5615108401
PKS_0312-770,5615046701
PKS_0312-770,5615108101
PKS_0312-770,5615106501
PKS_0312-770,5615048301
PKS_0312-770,5615044501
