specobjID,plate,mjd,fiberID,z
5460697660788070400,4850,55929,302,2.810551
5460667973974120448,4850,55929,194,2.479254
5460654779834587136,4850,55929,146,2.400915
5460622893997381632,4850,55929,30,2.464573
5460624543264823296,4850,55929,36,2.249604
5460616296927614976,4850,55929,6,2.061629
5460615747171801088,4850,55929,4,2.482545
5459664669882210304,4849,55945,640,2.878965
5459686110358951936,4849,55945,718,2.266318
5459692157672904704,4849,55945,740,2.222198
5459746583498479616,4849,55945,938,2.267991
5459499193382230016,4849,55945,38,2.307596
5367331531689056256,4767,55946,606,2.528309
5367377711177422848,4767,55946,774,2.557218
5367418942863464448,4767,55946,924,2.214287
5367420042375092224,4767,55946,928,2.433386
5458543168189650944,4848,55955,656,2.248892
5458565158422206464,4848,55955,736,2.153515
5458566257933834240,4848,55955,740,2.522409
5458587973288482816,4848,55955,819,2.452288
5458587698410575872,4848,55955,818,2.360647
5458416724352456704,4848,55955,196,2.569237
5458609688643131392,4848,55955,898,2.150277
5458621233515223040,4848,55955,940,2.574737
5458636076922198016,4848,55955,994,2.643862
5458637726189639680,4848,55955,1000,2.439638
5457428812752246784,4847,55931,698,2.451819
5439411111480023040,4831,55679,686,2.892413
5439424305619556352,4831,55679,734,2.377061
1827347420380424192,1623,53089,43,2.030192
5439435300735834112,4831,55679,774,2.347435
5439455641700947968,4831,55679,848,2.288289
5439456741212575744,4831,55679,852,2.432682
5439468286084667392,4831,55679,894,2.49433
5439464987549784064,4831,55679,882,2.417878
5439496048753268736,4831,55679,995,2.426784
5440489457525741568,4832,55680,513,2.96116
5440503476298995712,4832,55680,564,2.213532
5440516120682715136,4832,55680,610,2.658526
5440516670438529024,4832,55680,612,2.573971
5440548556275734528,4832,55680,728,2.746405
3661547800300199936,3252,54893,441,2.073279
5440592536740845568,4832,55680,888,2.209085
5440601607711774720,4832,55680,921,2.335678
5440602432345495552,4832,55680,924,2.272972
5440604081612937216,4832,55680,930,2.799365
5440613427461773312,4832,55680,964,2.761846
5441643120084408320,4833,55679,614,2.484545
5441655214712313856,4833,55679,658,2.566126
5441651916177430528,4833,55679,646,2.329662
5441661811782080512,4833,55679,682,2.626405
5441687100549519360,4833,55679,774,2.215277
5441709640537888768,4833,55679,856,2.288859
5441717337119283200,4833,55679,884,2.337643
5441744275154163712,4833,55679,982,2.691033
5441747023933233152,4833,55679,992,2.680345
5442800356173305856,4834,55685,728,2.637573
5442813000557025280,4834,55685,774,2.551868
7843047451582027776,6966,56748,104,2.894966
8016547637196249088,7120,56720,510,2.297997
7843049650605283328,6966,56748,112,2.265533
7843051849628538880,6966,56748,120,2.263637
7843265154884327424,6966,56748,896,2.147933
7843264605128513536,6966,56748,894,2.248968
7843274500733163520,6966,56748,930,2.243814
7843262955861071872,6966,56748,888,2.214988
7843261856349444096,6966,56748,884,2.874629
7843275050488977408,6966,56748,932,2.626196
7843268178541303808,6966,56748,907,2.66154
9269553581689952256,8233,57887,71,2.302958
9269553306812045312,8233,57887,70,2.643048
7697913560849209344,6837,56442,494,2.171197
9269792450591086592,8233,57887,940,2.473417
9269792175713179648,8233,57887,939,2.477886
9273011830921648128,8236,58500,364,2.299316
9273024475305367552,8236,58500,410,2.299341
9273012655555368960,8236,58500,367,2.82736
9269789426934110208,8233,57887,929,2.499944
9273015129456531456,8236,58500,376,2.068551
9273020621931173888,8236,58197,396,2.252197
9273015404334438400,8236,58500,377,2.37581
7846419098485676032,6969,56420,82,2.049393
9273006883119323136,8236,58500,346,2.08517
9273014299739314176,8236,58197,373,2.166052
9272998636782114816,8236,58500,316,2.927483
7846422397020559360,6969,56420,94,2.290793
7846423496532187136,6969,56420,98,2.600008
7846654119096113152,6969,56420,937,2.431304
7845403699883300864,6968,56443,484,2.436653
9273107483349768192,8236,58197,712,2.176499
7852261079011055616,6974,56442,855,2.042126
7852271249493612544,6974,56442,892,2.479439
7852256406086637568,6974,56442,838,2.458647
7853206388797102080,6975,56720,198,2.619916
7853193194657568768,6975,56720,150,2.898885
7843063944256444416,6966,56748,164,2.742771
7853382585535453184,6975,56720,839,2.973953
7853393855529637888,6975,56720,880,2.719626
7843076588640163840,6966,56748,210,2.980699
7853392756018010112,6975,56720,876,2.361575
7843079062541326336,6966,56748,219,2.602217
7843069441814583296,6966,56748,184,2.270147
7843069991570397184,6966,56748,186,2.831868
7843069716692490240,6966,56748,185,2.775159
7843072465471559680,6966,56748,195,2.602443
7843243714407585792,6966,56748,818,2.256409
7843251960744794112,6966,56748,848,2.555697
7843251410988980224,6966,56748,846,2.446266
7843238766605260800,6966,56748,800,2.770478
8175274508208592896,7261,56603,419,2.095109
12521312225959630848,11121,58438,652,2.261928
5018264076184475648,4457,55858,466,2.884468
5018262976672847872,4457,55858,462,2.376122
11584507423256500224,10289,58133,448,2.51772
11584451623041390592,10289,58133,245,2.711225
5018349838091442176,4457,55858,778,2.06089
11584447499872786432,10289,58133,230,2.106422
11584642113430902784,10289,58133,938,2.345699
11584652833669273600,10289,58133,977,2.389473
11998855631807469568,10657,58157,510,2.010918
11584641013919275008,10289,58133,934,2.086724
11584649810012297216,10289,58133,966,2.004708
5079156125347371008,4511,55602,806,2.484618
5073372968492750848,4506,55568,247,2.025616
5073371594103216128,4506,55568,242,2.37282
5073331461928802304,4506,55568,96,2.396277
5077961505242372096,4510,55559,556,2.201891
5073332561440430080,4506,55568,100,2.519242
5073320466812524544,4506,55568,56,2.389766
5077980196940044288,4510,55559,624,2.615247
5072249543074273280,4505,55603,256,2.218719
5072239647469623296,4505,55603,220,2.607899
5072236898690553856,4505,55603,210,2.206202
5072227552841717760,4505,55603,176,2.573166
5072218756748695552,4505,55603,144,2.930957
5072207761632417792,4505,55603,104,2.06133
5072197866027767808,4505,55603,68,2.221498
5072187970423117824,4505,55603,32,2.629568
5072184122132420608,4505,55603,18,2.210072
5071181916746831872,4504,55571,468,2.278489
5071170921630554112,4504,55571,428,2.339428
5071149481153812480,4504,55571,350,2.632578
5071319905456117760,4504,55571,970,2.328068
5071324853258442752,4504,55571,988,2.022278
5070058765484840960,4503,55563,478,2.880263
5070045021589493760,4503,55563,428,2.296719
5070108243508090880,4503,55563,658,2.275839
5070140679101110272,4503,55563,776,2.263084
5070168166891804672,4503,55563,876,2.451414
5066776722940385280,4500,55543,826,2.614082
5951620811463088128,5286,56225,414,2.312253
5951629057800296448,5286,56225,444,2.688193
5151111464602589184,4575,55590,434,2.223427
5152123015333697536,4576,55592,18,2.517701
9978918349021927424,8863,57724,245,2.087066
9978908728295184384,8863,57724,210,2.071687
9978886188306814976,8863,57724,128,2.571486
9978887837574256640,8863,57724,134,2.281723
5151204373335136256,4575,55590,772,2.407154
5151204923090950144,4575,55590,774,2.124059
5151215368451414016,4575,55590,812,2.25232
5151226363567691776,4575,55590,852,2.470854
9966607937345705984,8852,57449,516,2.282435
9966608487101519872,8852,57449,518,2.117628
5151235159660713984,4575,55590,884,2.492642
9966613984659658752,8852,57449,538,2.209412
9966612885148030976,8852,57449,534,2.054592
5151244505509550080,4575,55590,918,2.950872
5151245055265363968,4575,55590,920,2.430106
5151256600137455616,4575,55590,962,2.512452
9966613434903844864,8852,57449,536,2.495147
9966624155142215680,8852,57449,575,2.155129
5147676041058473984,4572,55622,224,2.347456
9966634050746865664,8852,57449,611,2.504493
5148889901308336128,4573,55587,544,2.742733
