,wave,flux,error,model,cont,narrow,broad,fe,out
106,3074.4556,6.446914,0.762288,6.676439592144708,6.6661083600439826,0.0,0.010331232,0.0,0.0
107,3075.1646,7.533318,0.7764606,6.6751047892312885,6.664144462701249,0.0,0.0109603265,0.0,0.0
108,3075.872,7.5091023,0.7782099,6.673805969431883,6.662185650914794,0.0,0.0116203185,0.0,0.0
109,3076.5813,6.9302044,0.7627984,6.672538568176952,6.660223137498525,0.0,0.012315431,0.0,0.0
110,3077.2893,6.899711,0.7631335,6.671309117655499,6.658265029507918,0.0,0.013044088,0.0,0.0
111,3077.9968,6.5072455,0.75297236,6.6701174988201934,6.656309296821721,0.0,0.013808202,0.0,0.0
112,3078.7068,5.617106,0.72581387,6.668960232505128,6.6543478446393465,0.0,0.014612388,0.0,0.0
113,3079.415,6.944514,0.748057,6.667845464967539,6.652392140314331,0.0,0.015453325,0.0,0.0
114,3080.1252,6.0812,0.7182642,6.666768791812225,6.6504320713754135,0.0,0.01633672,0.0,0.0
115,3080.8337,6.52139,0.76248705,6.665737129936746,6.6484777444999725,0.0,0.017259385,0.0,0.0
116,3081.544,7.1490974,0.7751311,6.664746873945944,6.646519730732791,0.0,0.018227143,0.0,0.0
117,3082.2532,6.8473334,0.7594743,6.663803197176608,6.644565434859547,0.0,0.019237762,0.0,0.0
118,3082.9622,6.3470125,0.7443117,6.6629063858209365,6.642612835255098,0.0,0.02029355,0.0,0.0
119,3083.673,6.666958,0.744096,6.662055219338871,6.640655883403159,0.0,0.021399336,0.0,0.0
120,3084.3823,7.1335955,0.74870545,6.66125548640455,6.638704659512293,0.0,0.022550827,0.0,0.0
121,3085.094,5.705153,0.7488113,6.66050396122047,6.63674774587163,0.0,0.023756215,0.0,0.0
122,3085.8035,6.137017,0.73845536,6.659806957698767,6.634797897420232,0.0,0.02500906,0.0,0.0
123,3086.5151,7.3771296,0.7616213,6.659161535681941,6.632843035863496,0.0,0.0263185,0.0,0.0
124,3087.225,6.547913,0.74062777,6.658572632570231,6.6308938914280775,0.0,0.027678741,0.0,0.0
125,3087.9353,6.83042,0.7448517,6.658039825730429,6.62894509802054,0.0,0.029094728,0.0,0.0
126,3088.6472,6.7145343,0.75046474,6.657563565717006,6.626992639572287,0.0,0.030570926,0.0,0.0
127,3089.358,5.780284,0.72475,6.65714716954031,6.62504455117383,0.0,0.03210262,0.0,0.0
128,3090.0703,6.4124246,0.7471783,6.656790288434587,6.62309280251082,0.0,0.033697486,0.0,0.0
129,3090.7812,7.3197865,0.7567953,6.656495781735376,6.621146088586047,0.0,0.035349693,0.0,0.0
130,3091.494,6.3633676,0.735298,6.656263578830559,6.619195718465645,0.0,0.03706786,0.0,0.0
131,3092.205,6.3083544,0.72162634,6.656095920852525,6.617250378034218,0.0,0.038845543,0.0,0.0
132,3092.9165,6.8747025,0.75292283,6.655993408446945,6.615305389201082,0.0,0.04068802,0.0,0.0
133,3093.6296,7.9737773,0.7621067,6.655957162536328,6.613356750614589,0.0,0.042600412,0.0,0.0
134,3094.3413,7.219828,0.7520977,6.655988415946808,6.611413134505597,0.0,0.04457528,0.0,0.0
135,3095.055,6.0432897,0.74621,6.656088395462864,6.609465206460588,0.0,0.04662319,0.0,0.0
136,3095.7668,6.7304864,0.75096095,6.656257515602528,6.607522962444245,0.0,0.048734553,0.0,0.0
137,3096.4805,6.4705877,0.7813436,6.656497451474276,6.605577076782789,0.0,0.050920375,0.0,0.0
138,3097.1934,5.556789,0.72189564,6.656808327397086,6.603634207954385,0.0,0.05317412,0.0,0.0
139,3097.9058,7.1082697,0.7532277,6.657190759844021,6.60169368720694,0.0,0.055497073,0.0,0.0
140,3098.6199,7.1944175,0.7543611,6.657646741351774,6.59974953123062,0.0,0.05789721,0.0,0.0
141,3099.3325,5.875997,0.72201693,6.658174824282656,6.597810380473862,0.0,0.060364444,0.0,0.0
142,3100.0476,6.272245,0.7396857,6.658778503409985,6.595865607134464,0.0,0.0629129,0.0,0.0
143,3100.7605,6.9641356,0.7534091,6.659454282071855,6.593927826431062,0.0,0.065526456,0.0,0.0
144,3101.4756,6.572385,0.7458545,6.660206549672635,6.591985092370065,0.0,0.06822146,0.0,0.0
145,3102.1895,5.8991833,0.7279575,6.661032031710727,6.590046692128761,0.0,0.07098534,0.0,0.0
146,3102.9033,6.566629,0.73887336,6.6619319848287075,6.58810930769324,0.0,0.07382268,0.0,0.0
147,3103.6187,7.3482704,0.7718312,6.662908411271196,6.586168965942483,0.0,0.076739445,0.0,0.0
148,3104.3328,6.605024,0.79470456,6.663957501437406,6.584232951190214,0.0,0.07972455,0.0,0.0
149,3105.0486,6.162923,0.8097086,6.665083308410973,6.582293321085305,0.0,0.08278999,0.0,0.0
150,3105.763,4.9798603,0.79510903,6.666280462104535,6.5803586753790135,0.0,0.08592179,0.0,0.0
151,3106.479,6.574437,0.80537146,6.667553725674749,6.578420418336988,0.0,0.08913331,0.0,0.0
152,3107.1938,7.02775,0.7937851,6.668897275758271,6.576486480367665,0.0,0.092410795,0.0,0.0
153,3107.9084,6.4452333,0.7907011,6.670311871396082,6.574554215596693,0.0,0.095757656,0.0,0.0
154,3108.6252,7.3798943,0.7814214,6.671801665644967,6.572617025893056,0.0,0.09918464,0.0,0.0
155,3109.34,7.1358657,0.775664,6.673356923924646,6.570686127709112,0.0,0.102670796,0.0,0.0
156,3110.0574,7.6507506,0.79482764,6.674986041809636,6.568749651040155,0.0,0.10623639,0.0,0.0
157,3110.773,6.221696,0.7450451,6.676678223462832,6.566818801613581,0.0,0.10985942,0.0,0.0
158,3111.49,6.2208033,0.75087833,6.678439387541739,6.564885014158217,0.0,0.11355437,0.0,0.0
159,3112.2058,7.224499,0.8197427,6.6802612717917675,6.562955531077694,0.0,0.11730574,0.0,0.0
160,3112.9238,7.2458634,0.81291795,6.682150794941573,6.5610211405936765,0.0,0.121129654,0.0,0.0
161,3113.64,9.234442,0.8129638,6.684095035564439,6.5590930239076775,0.0,0.12500201,0.0,0.0
162,3114.356,6.96958,0.794698,6.6860968731466395,6.55716591702138,0.0,0.12893096,0.0,0.0
