Unnamed: 0.1,Unnamed: 0,Wavelength (Ang),Flux,Error
171,171,2314.28,5.17359e-17,2.11107e-17
172,172,2314.79,5.2045400000000005e-17,2.16401e-17
173,173,2315.3,2.531850000000001e-17,1.55481e-17
174,174,2315.82,1.61837e-17,1.27815e-17
175,175,2316.33,1.6281400000000003e-17,1.2727e-17
176,176,2316.84,3.432638e-17,1.78302e-17
177,177,2317.36,4.3177810000000006e-17,1.96144e-17
178,178,2317.87,3.4507740000000005e-17,1.71787e-17
179,179,2318.39,3.462606e-17,1.67552e-17
180,180,2318.9,4.2897850000000003e-17,1.81957e-17
181,181,2319.41,2.6974200000000002e-17,1.37044e-17
182,182,2319.93,2.7300700000000004e-17,1.33418e-17
183,183,2320.44,3.5103740000000004e-17,1.50475e-17
184,184,2320.95,2.77794e-17,1.28097e-17
185,185,2321.47,4.9892900000000004e-17,1.79916e-17
186,186,2321.98,4.99265e-17,1.80503e-17
187,187,2322.49,2.021390000000001e-17,1.05513e-17
188,188,2323.01,5.01832e-17,1.84914e-17
189,189,2323.52,2.740780000000001e-17,1.32163e-17
190,190,2324.03,8.06196e-17,2.4013e-17
191,191,2324.55,2.7603300000000002e-17,1.2998e-17
192,192,2325.06,7.20135e-17,2.20969e-17
193,193,2325.57,4.9817800000000003e-17,1.78748e-17
194,194,2326.09,4.97842e-17,1.78187e-17
195,195,2326.6,2.78935e-17,1.26733e-17
196,196,2327.11,3.51858e-17,1.47183e-17
197,197,2327.63,6.48443e-17,2.09982e-17
198,198,2328.14,2.763280000000001e-17,1.29592e-17
199,199,2328.65,1.999580000000001e-17,1.06661e-17
200,200,2329.17,8.05456e-17,2.39747e-17
201,201,2329.68,4.2644050000000005e-17,1.69863e-17
202,202,2330.19,5.77914e-17,2.00496e-17
203,203,2330.71,3.507171e-17,1.51023e-17
204,204,2331.22,2.7575400000000002e-17,1.30176e-17
205,205,2331.73,5.7622e-17,1.98679e-17
206,206,2332.25,2.7583100000000002e-17,1.30073e-17
