Unnamed: 0.1,Unnamed: 0,Wavelength (Ang),Flux,Error
165,165,2307.09,3.038101e-16,1.01139e-16
166,166,2307.6,2.501181e-16,9.36964e-17
167,167,2308.12,2.2226009999999997e-16,8.94025e-17
168,168,2308.63,2.208791e-16,8.89462e-17
169,169,2309.14,3.726961e-16,1.0836e-16
170,170,2309.66,3.465551e-16,1.05147e-16
171,171,2310.17,2.713131e-16,9.57986e-17
172,172,2310.68,2.993071e-16,9.98482e-17
173,173,2311.2,2.510811e-16,9.40014e-17
174,174,2311.71,2.020221e-16,8.7548e-17
175,175,2312.22,9.91331e-17,7.11419e-17
176,176,2312.74,2.124591e-16,9.11998e-17
177,177,2313.25,2.4709009999999997e-16,9.76133e-17
178,178,2313.76,1.3899410000000002e-16,8.17172e-17
179,179,2314.28,1.4397210000000002e-16,8.38907e-17
180,180,2314.79,1.791871e-16,9.12079e-17
181,181,2315.3,9.01651e-17,7.56667e-17
182,182,2315.82,2.8902200000000003e-17,6.22008e-17
183,183,2316.33,1.524361e-16,8.7587e-17
184,184,2316.84,1.198741e-16,8.11607e-17
185,185,2317.36,2.378941e-16,1.00102e-16
186,186,2317.87,2.319311e-16,9.80166e-17
187,187,2318.39,2.250151e-16,9.55972e-17
188,188,2318.9,2.171711e-16,9.28534e-17
189,189,2319.41,3.4592409999999996e-16,1.08884e-16
190,190,2319.93,9.69831e-17,7.01121e-17
191,191,2320.44,2.2301509999999997e-16,8.96609e-17
192,192,2320.95,1.929471e-16,8.43801e-17
193,193,2321.47,4.439521e-16,1.15786e-16
194,194,2321.98,9.06681e-17,6.70651e-17
195,195,2322.49,2.463761e-16,9.25314e-17
196,196,2323.01,1.459851e-16,7.78986e-17
197,197,2323.52,2.005611e-16,8.70454e-17
198,198,2324.03,2.515871e-16,9.41688e-17
199,199,2324.55,2.2224609999999997e-16,8.94094e-17
200,200,2325.06,2.9323309999999997e-16,9.81116e-17
201,201,2325.57,2.9005809999999997e-16,9.71995e-17
202,202,2326.09,1.3888210000000002e-16,7.5052e-17
203,203,2326.6,1.651321e-16,7.95718e-17
204,204,2327.11,1.157421e-16,7.158e-17
205,205,2327.63,2.703591e-16,9.55232e-17
206,206,2328.14,2.985661e-16,9.96456e-17
207,207,2328.65,3.532121e-16,1.0693e-16
208,208,2329.17,2.770891e-16,9.75419e-17
209,209,2329.68,2.7772509999999997e-16,9.77329e-17
210,210,2330.19,1.727001e-16,8.23967e-17
211,211,2330.71,1.199841e-16,7.34346e-17
212,212,2331.22,2.483921e-16,9.31693e-17
213,213,2331.73,2.7395209999999996e-16,9.66026e-17
214,214,2332.25,1.9650510000000003e-16,8.56319e-17
215,215,2332.76,1.977991e-16,8.6085e-17
216,216,2333.27,1.995261e-16,8.66894e-17
217,217,2333.78,1.4830410000000002e-16,7.88365e-17
218,218,2334.3,3.849641e-16,1.11531e-16
219,219,2334.81,1.998741e-16,8.68121e-17
220,220,2335.32,3.279741e-16,1.03933e-16
221,221,2335.84,1.963611e-16,8.55834e-17
222,222,2336.35,1.6969210000000002e-16,8.12784e-17
223,223,2336.86,1.9485410000000003e-16,8.50568e-17
224,224,2337.38,1.950651e-16,8.51309e-17
225,225,2337.89,4.0957300000000003e-17,5.73312e-17
226,226,2338.4,9.20121e-17,6.77274e-17
227,227,2338.92,1.431581e-16,7.67756e-17
228,228,2339.43,4.500991e-16,1.17239e-16
229,229,2339.94,2.972131e-16,9.92619e-17
230,230,2340.46,1.428851e-16,7.66668e-17
231,231,2340.97,3.205901e-16,1.01896e-16
232,232,2341.48,4.219781e-16,1.138e-16
233,233,2342.0,1.415321e-16,7.61249e-17
234,234,2342.51,2.920461e-16,9.77782e-17
235,235,2343.02,3.127111e-16,9.97196e-17
236,236,2343.54,1.352081e-16,7.35887e-17
237,237,2344.05,2.294931e-16,8.72387e-17
238,238,2344.56,3.4653909999999997e-16,1.01641e-16
239,239,2345.08,3.6753609999999997e-16,1.03688e-16
240,240,2345.59,2.713931e-16,9.18446e-17
241,241,2346.1,2.711641e-16,9.17791e-17
242,242,2346.61,1.5409610000000002e-16,7.54664e-17
243,243,2347.13,1.800941e-16,7.98968e-17
244,244,2347.64,3.056971e-16,9.77832e-17
245,245,2348.15,1.129371e-16,7.03689e-17
246,246,2348.67,2.687261e-16,9.50425e-17
247,247,2349.18,3.800341e-16,1.10267e-16
248,248,2349.69,2.5615009999999996e-16,9.56146e-17
249,249,2350.21,4.509451000000003e-16,1.20813e-16
250,250,2350.72,3.215131e-16,1.06249e-16
251,251,2351.23,2.7087209999999997e-16,1.0024e-16
252,252,2351.75,1.613161e-16,8.40664e-17
253,253,2352.26,2.1753709999999999e-16,9.30009e-17
254,254,2352.77,2.712761e-16,1.00367e-16
255,255,2353.29,2.386591e-16,9.48493e-17
256,256,2353.8,2.308501e-16,9.22679e-17
257,257,2354.31,1.452751e-16,7.76325e-17
258,258,2354.82,4.175991e-16,1.12744e-16
259,259,2355.34,3.838781e-16,1.07767e-16
260,260,2355.85,3.2865309999999996e-16,1.00398e-16
261,261,2356.36,2.505971e-16,8.96087e-17
262,262,2356.88,4.847301000000001e-16,1.16158e-16
263,263,2357.39,2.212451e-16,8.46523e-17
264,264,2357.9,1.9633309999999999e-16,8.08573e-17
265,265,2358.42,3.3344209999999997e-16,9.82728e-17
266,266,2358.93,3.774241e-16,1.03021e-16
267,267,2359.44,1.9250609999999998e-16,7.95925e-17
268,268,2359.96,2.172111e-16,8.33856e-17
269,269,2360.47,2.913261e-16,9.38162e-17
270,270,2360.98,2.258781e-16,8.61085e-17
271,271,2361.49,3.2619009999999996e-16,9.97431e-17
272,272,2362.01,2.064771e-16,8.42123e-17
273,273,2362.52,1.569941e-16,7.65531e-17
274,274,2363.03,2.508131e-16,8.96751e-17
275,275,2363.55,2.240091e-16,8.55221e-17
276,276,2364.06,3.623451e-16,1.02398e-16
277,277,2364.57,3.364891e-16,9.90586e-17
278,278,2365.08,1.716961e-16,7.69637e-17
279,279,2365.6,1.709741e-16,7.67111e-17
280,280,2366.11,1.465891e-16,7.26728e-17
281,281,2366.62,1.4624310000000002e-16,7.25439e-17
282,282,2367.14,3.294381e-16,9.72435e-17
283,283,2367.65,4.249181e-16,1.08377e-16
284,284,2368.16,3.1165209999999996e-16,9.58716e-17
285,285,2368.68,1.268861e-16,7.02594e-17
286,286,2369.19,2.441371e-16,8.76746e-17
287,287,2369.7,2.6733809999999997e-16,9.06855e-17
288,288,2370.21,3.1338309999999996e-16,9.63329e-17
289,289,2370.73,2.663141e-16,9.03913e-17
290,290,2371.24,5.66531e-17,5.73818e-17
291,291,2371.75,2.477951e-16,8.8772e-17
292,292,2372.27,8.41441e-17,6.39433e-17
293,293,2372.78,2.571501e-16,9.15775e-17
294,294,2373.29,1.603281e-16,7.77994e-17
295,295,2373.8,3.0552909999999997e-16,9.77428e-17
296,296,2374.32,3.720311e-16,1.04816e-16
297,297,2374.83,1.9783410000000003e-16,8.13573e-17
298,298,2375.34,3.315661e-16,9.77925e-17
299,299,2375.86,1.683501e-16,7.57946e-17
300,300,2376.37,3.7265209999999997e-16,1.01869e-16
301,301,2376.88,4.181831e-16,1.06835e-16
302,302,2377.4,4.176091e-16,1.06704e-16
303,303,2377.91,3.7255109999999996e-16,1.01845e-16
304,304,2378.42,2.813921e-16,9.10742e-17
305,305,2378.93,2.368821e-16,8.55003e-17
306,306,2379.45,2.1338309999999999e-16,8.21867e-17
307,307,2379.96,1.668061e-16,7.5255e-17
308,308,2380.47,2.546961e-16,8.70539e-17
309,309,2380.98,7.43991e-17,5.9238e-17
310,310,2381.5,1.855561e-16,7.72988e-17
311,311,2382.01,1.4042510000000002e-16,7.03765e-17
312,312,2382.52,1.630901e-16,7.39548e-17
313,313,2383.04,2.537631e-16,8.67862e-17
314,314,2383.55,3.0278709999999997e-16,9.35119e-17
315,315,2384.06,2.606931e-16,8.87777e-17
316,316,2384.57,2.421081e-16,8.7068e-17
317,317,2385.09,4.1125609999999996e-16,1.08109e-16
318,318,2385.6,3.712501e-16,1.04622e-16
319,319,2386.11,3.278941e-16,1.002e-16
320,320,2386.63,3.3178809999999996e-16,1.01238e-16
321,321,2387.14,3.570711e-16,1.04361e-16
322,322,2387.65,5.527761e-16,1.25201e-16
323,323,2388.16,3.033111e-16,9.71313e-17
324,324,2388.68,3.204191e-16,9.82093e-17
325,325,2389.19,2.4201409999999996e-16,8.70405e-17
326,326,2389.7,2.355101e-16,8.50898e-17
327,327,2390.22,3.191661e-16,9.46009e-17
328,328,2390.73,3.347211e-16,9.55117e-17
329,329,2391.24,2.646761e-16,8.64566e-17
330,330,2391.75,1.9848010000000003e-16,7.7506e-17
331,331,2392.27,2.841251e-16,8.8541e-17
332,332,2392.78,2.6389609999999997e-16,8.62415e-17
333,333,2393.29,2.429871e-16,8.36901e-17
334,334,2393.8,3.092141e-16,9.20385e-17
335,335,2394.32,3.3130909999999997e-16,9.46608e-17
336,336,2394.83,2.2261609999999997e-16,8.12234e-17
337,337,2395.34,3.082781e-16,9.17976e-17
338,338,2395.85,1.338031e-16,6.79071e-17
339,339,2396.37,3.8946609999999996e-16,1.00258e-16
340,340,2396.88,2.8153709999999997e-16,8.78516e-17
341,341,2397.39,3.682901e-16,9.80001e-17
342,342,2397.91,2.608741e-16,8.54065e-17
343,343,2398.42,3.244871e-16,9.29594e-17
344,344,2398.93,2.173881e-16,7.96557e-17
345,345,2399.44,3.8998309999999996e-16,1.00377e-16
346,346,2399.96,1.763981e-16,7.42721e-17
